date,population
1/1/2008,19438
2/1/2008,19894
3/1/2008,19730
4/1/2008,19720
5/1/2008,19656
6/1/2008,19532
7/1/2008,19413
8/1/2008,19524
9/1/2008,19552
10/1/2008,19657
11/1/2008,19441
12/1/2008,19176
1/1/2009,18978
2/1/2009,19107
3/1/2009,19060
4/1/2009,19069
5/1/2009,18906
6/1/2009,18754
7/1/2009,18891
8/1/2009,18830
9/1/2009,18874
10/1/2009,18819
11/1/2009,18642
12/1/2009,18395
1/1/2010,18053
2/1/2010,18383
3/1/2010,18330
4/1/2010,18331
5/1/2010,18259
6/1/2010,18364
7/1/2010,18431
8/1/2010,18490
9/1/2010,18593
10/1/2010,18481
11/1/2010,18320
12/1/2010,18172
1/1/2011,17746
2/1/2011,17915
3/1/2011,17739
4/1/2011,17655
5/1/2011,17486
6/1/2011,17554
7/1/2011,17631
8/1/2011,17648
9/1/2011,17739
10/1/2011,17762
11/1/2011,17774
12/1/2011,17459
1/1/2012,17022
2/1/2012,17262
3/1/2012,17169
4/1/2012,16986
5/1/2012,16858
6/1/2012,16718
7/1/2012,16591
8/1/2012,16660
9/1/2012,16646
10/1/2012,16741
11/1/2012,16826
12/1/2012,16563
1/1/2013,16347
2/1/2013,16757
3/1/2013,16641
4/1/2013,16580
5/1/2013,16728
6/1/2013,16869
7/1/2013,16988
8/1/2013,17142
9/1/2013,17065
10/1/2013,17204
11/1/2013,17103
12/1/2013,16786
1/1/2014,16594
2/1/2014,16839
3/1/2014,16626
4/1/2014,16568
5/1/2014,16541
6/1/2014,16528
7/1/2014,16551
8/1/2014,16569
9/1/2014,16577
10/1/2014,16608
11/1/2014,16605
12/1/2014,16436
1/1/2015,16167
2/1/2015,16302
3/1/2015,16158
4/1/2015,16198
5/1/2015,16122
6/1/2015,16165
7/1/2015,16025
8/1/2015,16156
9/1/2015,16168
10/1/2015,16099
11/1/2015,16028
12/1/2015,15982
1/1/2016,15500
2/1/2016,15860
3/1/2016,15691
4/1/2016,15527
5/1/2016,15411
6/1/2016,15322
7/1/2016,15342
8/1/2016,15161
9/1/2016,15023
10/1/2016,15010
11/1/2016,15068
12/1/2016,14814
1/1/2017,14532
2/1/2017,14790
3/1/2017,14679
4/1/2017,14523
5/1/2017,14502
6/1/2017,14429
7/1/2017,14333
8/1/2017,14203
9/1/2017,14174
10/1/2017,14108
11/1/2017,14087
12/1/2017,13940
1/1/2018,13649
2/1/2018,13817
3/1/2018,13751
4/1/2018,13656
5/1/2018,13514
6/1/2018,13417
7/1/2018,13370
8/1/2018,13444
9/1/2018,13409
10/1/2018,13472
11/1/2018,13433
12/1/2018,13395
1/1/2019,13228
2/1/2019,13444
3/1/2019,13347
4/1/2019,13220
5/1/2019,13035
6/1/2019,13001
7/1/2019,13106
8/1/2019,13033
9/1/2019,12941
10/1/2019,12935
